j,s,run_1,run_2,run_3,run_4,run_5,average
1,10,9.0,9.0,8.100000000000001,9.0,8.100000000000001,8.64
1,200,8.459999999999999,8.459999999999999,8.145,8.549999999999999,8.459999999999999,8.415
1,400,8.4825,8.459999999999999,8.3475,8.3475,8.055,8.3385
1,600,8.34,8.31,8.385,8.385,8.399999999999999,8.363999999999999
1,800,8.459999999999999,8.29125,8.280000000000001,8.35875,8.313749999999999,8.34075
1,1000,8.343,8.271,8.325000000000001,8.370000000000001,8.450999999999999,8.352
6,10,1.8000000000000003,0.9000000000000001,2.6999999999999997,4.5,4.5,2.88
6,200,3.0150000000000006,2.3850000000000002,2.295,1.98,2.6550000000000002,2.466
6,400,2.5875,2.43,2.295,2.3625000000000003,2.0925000000000002,2.3535000000000004
6,600,2.31,2.625,2.5200000000000005,2.5949999999999998,2.88,2.586
6,800,2.84625,2.46375,2.48625,2.6099999999999994,2.4975,2.58075
6,1000,2.5379999999999994,2.3760000000000003,2.3850000000000002,2.394,2.565,2.4516
11,10,2.6999999999999997,1.8000000000000003,1.8000000000000003,3.6000000000000005,2.6999999999999997,2.5200000000000005
11,200,2.0700000000000003,1.935,2.1149999999999998,2.1149999999999998,1.8900000000000001,2.0250000000000004
11,400,2.1825,2.2725,1.9124999999999999,1.9575,1.7325,2.0115
11,600,1.7399999999999998,2.175,2.085,2.175,1.785,1.9920000000000002
11,800,1.8674999999999997,1.7437500000000001,1.9575,2.01375,2.17125,1.95075
11,1000,1.8359999999999999,2.214,1.944,1.8359999999999999,1.881,1.9422000000000001
16,10,2.6999999999999997,2.6999999999999997,1.8000000000000003,1.8000000000000003,2.6999999999999997,2.34
16,200,1.53,2.0250000000000004,2.16,1.4849999999999999,2.16,1.8720000000000003
16,400,2.0025,2.0250000000000004,1.845,1.8674999999999997,2.0025,1.9485
16,600,1.8900000000000001,1.8000000000000003,1.5749999999999997,1.9500000000000002,1.77,1.7970000000000002
16,800,2.03625,1.8562499999999997,1.6649999999999998,1.8225000000000002,1.6425,1.8044999999999998
16,1000,1.881,1.827,1.6829999999999998,1.917,1.9620000000000002,1.8539999999999999
21,10,0.9000000000000001,3.6000000000000005,1.8000000000000003,2.6999999999999997,0.9000000000000001,1.98
21,200,1.8900000000000001,1.4849999999999999,1.4849999999999999,1.125,1.3049999999999997,1.4579999999999997
21,400,1.8900000000000001,1.7100000000000002,1.9124999999999999,1.6875,1.8000000000000003,1.8
21,600,1.785,2.1149999999999998,1.905,1.8900000000000001,1.77,1.893
21,800,1.7325,1.7437500000000001,1.845,1.8674999999999997,1.5187500000000003,1.7414999999999998
21,1000,1.6560000000000001,1.7820000000000003,1.6109999999999998,1.953,1.827,1.7658
26,10,1.8000000000000003,0.9000000000000001,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.6200000000000003
26,200,1.8900000000000001,1.44,1.44,1.98,1.53,1.656
26,400,1.8000000000000003,1.6649999999999998,1.62,1.4175,1.6875,1.638
26,600,1.935,1.59,1.6649999999999998,1.47,1.6949999999999998,1.671
26,800,1.67625,1.81125,1.5524999999999998,1.65375,1.7325,1.68525
26,1000,1.791,1.6560000000000001,1.6560000000000001,1.5390000000000001,1.7369999999999999,1.6758
31,10,0.9000000000000001,2.6999999999999997,1.8000000000000003,1.8000000000000003,0.9000000000000001,1.6200000000000003
31,200,2.16,1.7100000000000002,1.6649999999999998,1.53,1.4849999999999999,1.7100000000000002
31,400,1.62,1.6875,1.7325,1.8000000000000003,1.7325,1.7145
31,600,1.6800000000000002,1.65,1.6649999999999998,1.65,1.6350000000000002,1.656
31,800,1.62,1.5075000000000003,1.42875,1.6649999999999998,1.7775,1.59975
31,1000,1.62,1.755,1.512,1.6829999999999998,1.773,1.6686
36,10,0.0,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.1599999999999997
