j,s,run_1,run_2,run_3,run_4,run_5,average
1,10,9.0,9.0,9.0,9.0,8.100000000000001,8.82
1,200,8.370000000000001,8.370000000000001,8.055,8.504999999999999,8.594999999999999,8.379
1,400,8.415000000000001,8.4375,8.2575,8.280000000000001,8.3925,8.3565
1,600,8.34,8.31,8.399999999999999,8.145,8.055,8.249999999999998
1,800,8.561250000000001,8.415000000000001,8.325000000000001,8.268749999999999,8.3925,8.3925
1,1000,8.334,8.225999999999999,8.361,8.379000000000001,8.406,8.341199999999999
2,10,8.100000000000001,6.299999999999999,6.299999999999999,6.299999999999999,3.6000000000000005,6.12
2,200,6.344999999999999,6.030000000000001,6.299999999999999,6.030000000000001,6.255,6.191999999999999
2,400,6.165000000000001,6.615,6.12,6.12,6.39,6.282000000000001
2,600,6.48,6.27,6.3149999999999995,6.299999999999999,6.39,6.350999999999999
2,800,6.19875,6.311250000000001,6.165000000000001,6.5249999999999995,6.558750000000001,6.351750000000001
2,1000,6.021000000000001,6.264,6.443999999999999,6.209999999999999,6.200999999999999,6.228
3,10,4.5,4.5,4.5,2.6999999999999997,1.8000000000000003,3.6
3,200,4.41,3.96,4.365,4.545,4.140000000000001,4.284000000000001
3,400,4.050000000000001,4.2299999999999995,4.095,3.7349999999999994,4.0275,4.0275
3,600,4.199999999999999,4.2299999999999995,4.305,4.38,4.38,4.2989999999999995
3,800,4.331250000000001,4.0275,4.1625000000000005,4.15125,4.17375,4.169250000000001
3,1000,4.212000000000001,4.329000000000001,4.131,4.302,4.167,4.228199999999999
4,10,3.6000000000000005,4.5,4.5,4.5,0.9000000000000001,3.6
4,200,3.285,3.6450000000000005,3.285,3.24,3.285,3.3480000000000003
4,400,3.1499999999999995,3.06,3.3299999999999996,3.24,3.2175000000000002,3.1994999999999996
4,600,3.1650000000000005,3.255,3.3449999999999998,3.12,3.0,3.1770000000000005
4,800,3.2175000000000002,3.3075,3.34125,3.1049999999999995,2.8912499999999994,3.1725000000000003
4,1000,3.141,3.096,3.375,3.0690000000000004,3.1859999999999995,3.1734
5,10,1.8000000000000003,1.8000000000000003,3.6000000000000005,3.6000000000000005,7.200000000000001,3.6
5,200,2.3850000000000002,2.6999999999999997,2.6099999999999994,3.3299999999999996,2.745,2.754
5,400,2.9925,3.06,2.565,3.1499999999999995,3.24,3.0014999999999996
5,600,2.685,2.985,3.12,2.895,3.045,2.9459999999999997
5,800,2.71125,2.75625,2.57625,2.75625,2.8012500000000005,2.72025
5,1000,2.772,2.5020000000000002,2.808,2.817,3.1049999999999995,2.8008
6,10,2.6999999999999997,0.9000000000000001,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.3399999999999994
