i,s,Sampling Method,Estimated Area,CI Upper Area,CI Lower Area
5,49,Uniform Sampling,2.68163,2.92368,2.43958
5,121,Uniform Sampling,2.89587,3.05731,2.73442
5,169,Uniform Sampling,2.82959,2.97258,2.6866
5,289,Uniform Sampling,2.81107,2.92377,2.69837
5,361,Uniform Sampling,2.8205,2.92055,2.72045
5,529,Uniform Sampling,2.81002,2.88029,2.73975
10,49,Uniform Sampling,1.97143,2.19197,1.75089
10,121,Uniform Sampling,2.03306,2.16278,1.90333
10,169,Uniform Sampling,1.96154,2.0727,1.85038
10,289,Uniform Sampling,1.98062,2.05994,1.90131
10,361,Uniform Sampling,1.98033,2.05284,1.90782
10,529,Uniform Sampling,2.02741,2.09882,1.956
15,49,Uniform Sampling,1.75102,1.95696,1.54508
15,121,Uniform Sampling,1.88182,1.99102,1.77262
15,169,Uniform Sampling,1.88876,2.00929,1.76822
15,289,Uniform Sampling,1.89446,1.98603,1.8029
15,361,Uniform Sampling,1.7892,1.85829,1.72011
15,529,Uniform Sampling,1.83346,1.89344,1.77348
20,49,Uniform Sampling,1.53061,1.70647,1.35475
20,121,Uniform Sampling,1.75289,1.89141,1.61437
20,169,Uniform Sampling,1.64201,1.74422,1.5398
20,289,Uniform Sampling,1.71799,1.80486,1.63113
20,361,Uniform Sampling,1.72687,1.78304,1.6707
20,529,Uniform Sampling,1.75293,1.79863,1.70723
25,49,Uniform Sampling,1.76327,1.9347,1.59183
25,121,Uniform Sampling,1.62645,1.72558,1.52731
25,169,Uniform Sampling,1.73787,1.81919,1.65655
25,289,Uniform Sampling,1.68789,1.7562,1.61958
25,361,Uniform Sampling,1.68033,1.75263,1.60803
25,529,Uniform Sampling,1.64291,1.69831,1.58751
30,49,Uniform Sampling,1.63469,1.80011,1.46927
30,121,Uniform Sampling,1.61653,1.7439,1.48916
30,169,Uniform Sampling,1.62781,1.71341,1.54221
30,289,Uniform Sampling,1.63495,1.71109,1.5588
30,361,Uniform Sampling,1.66039,1.72374,1.59703
30,529,Uniform Sampling,1.66843,1.71403,1.62284
35,49,Uniform Sampling,1.59796,1.77821,1.41771
35,121,Uniform Sampling,1.59917,1.7265,1.47184
35,169,Uniform Sampling,1.56568,1.65845,1.47291
35,289,Uniform Sampling,1.68581,1.76275,1.60888
35,361,Uniform Sampling,1.63213,1.71119,1.55308
35,529,Uniform Sampling,1.62193,1.67669,1.56717
40,49,Uniform Sampling,1.57959,1.81962,1.33956
40,121,Uniform Sampling,1.5719,1.68051,1.46329
40,169,Uniform Sampling,1.58166,1.68172,1.48159
40,289,Uniform Sampling,1.58512,1.66472,1.50553
40,361,Uniform Sampling,1.55983,1.62966,1.49001
40,529,Uniform Sampling,1.57032,1.63062,1.51003
45,49,Uniform Sampling,1.61633,1.77783,1.45483
45,121,Uniform Sampling,1.54463,1.67985,1.40941
45,169,Uniform Sampling,1.64556,1.73063,1.56049
45,289,Uniform Sampling,1.57578,1.63848,1.51307
45,361,Uniform Sampling,1.58726,1.65445,1.52007
45,529,Uniform Sampling,1.57713,1.63754,1.51672
50,49,Uniform Sampling,1.5551,1.73855,1.37166
50,121,Uniform Sampling,1.57934,1.71277,1.4459
50,169,Uniform Sampling,1.61361,1.71898,1.50824
50,289,Uniform Sampling,1.60796,1.69425,1.52167
50,361,Uniform Sampling,1.60055,1.66694,1.53417
50,529,Uniform Sampling,1.62023,1.68275,1.5577
55,49,Uniform Sampling,1.58571,1.75514,1.41629
55,121,Uniform Sampling,1.55207,1.70606,1.39808
55,169,Uniform Sampling,1.56391,1.66802,1.45979
55,289,Uniform Sampling,1.58201,1.63718,1.52684
55,361,Uniform Sampling,1.57645,1.63647,1.51644
55,529,Uniform Sampling,1.59017,1.64289,1.53745
60,49,Uniform Sampling,1.48776,1.64513,1.33038
60,121,Uniform Sampling,1.5,1.59624,1.40376
60,169,Uniform Sampling,1.56746,1.67571,1.45921
60,289,Uniform Sampling,1.58616,1.66413,1.50819
60,361,Uniform Sampling,1.59224,1.65131,1.53318
60,529,Uniform Sampling,1.57713,1.63339,1.52087
65,49,Uniform Sampling,1.60408,1.80215,1.40601
65,121,Uniform Sampling,1.52231,1.65516,1.38947
65,169,Uniform Sampling,1.61538,1.69784,1.53292
65,289,Uniform Sampling,1.56644,1.64561,1.48726
65,361,Uniform Sampling,1.55402,1.61963,1.4884
65,529,Uniform Sampling,1.52495,1.57727,1.47263
70,49,Uniform Sampling,1.61633,1.79317,1.43949
70,121,Uniform Sampling,1.64132,1.75477,1.52787
70,169,Uniform Sampling,1.67219,1.8006,1.54378
70,289,Uniform Sampling,1.58304,1.66663,1.49946
70,361,Uniform Sampling,1.55485,1.63484,1.47486
70,529,Uniform Sampling,1.52779,1.57927,1.4763
75,49,Uniform Sampling,1.49388,1.68341,1.30435
75,121,Uniform Sampling,1.6314,1.74579,1.51702
75,169,Uniform Sampling,1.62426,1.71285,1.53568
75,289,Uniform Sampling,1.55294,1.61892,1.48697
75,361,Uniform Sampling,1.52909,1.58333,1.47484
75,529,Uniform Sampling,1.55161,1.61191,1.49131
80,49,Uniform Sampling,1.46327,1.66341,1.26312
80,121,Uniform Sampling,1.54959,1.71672,1.38245
80,169,Uniform Sampling,1.58876,1.69541,1.48211
80,289,Uniform Sampling,1.5737,1.62386,1.52355
80,361,Uniform Sampling,1.50665,1.57412,1.43918
80,529,Uniform Sampling,1.56919,1.63323,1.50514
85,49,Uniform Sampling,1.59796,1.77549,1.42043
85,121,Uniform Sampling,1.58678,1.66612,1.50743
85,169,Uniform Sampling,1.5426,1.65978,1.42543
85,289,Uniform Sampling,1.59031,1.67834,1.50228
85,361,Uniform Sampling,1.54072,1.6043,1.47714
85,529,Uniform Sampling,1.5794,1.63268,1.52611
90,49,Uniform Sampling,1.45714,1.627,1.28729
90,121,Uniform Sampling,1.53471,1.64424,1.42519
90,169,Uniform Sampling,1.59941,1.6814,1.51742
90,289,Uniform Sampling,1.56955,1.64483,1.49428
90,361,Uniform Sampling,1.59972,1.69381,1.50564
90,529,Uniform Sampling,1.52268,1.56644,1.47893
95,49,Uniform Sampling,1.46939,1.6495,1.28928
95,121,Uniform Sampling,1.5719,1.66804,1.47576
